country,latitude,longitude,name
Montenegro,42.708678,19.37439,Montenegro
Madagascar,-18.766947,46.869107,Madagascar
Marshall Islands,7.131474,171.184478,Marshall Islands
Macedonia [FYROM],41.608635,21.745275,Macedonia [FYROM]
Mali,17.570692,-3.996166,Mali
Myanmar [Burma],21.913965,95.956223,Myanmar [Burma]
Mongolia,46.862496,103.846656,Mongolia
Macau,22.198745,113.543873,Macau
Northern Mariana Islands,17.33083,145.38469,Northern Mariana Islands
Martinique,14.641528,-61.024174,Martinique
Mauritania,21.00789,-10.940835,Mauritania
Montserrat,16.742498,-62.187366,Montserrat
Malta,35.937496,14.375416,Malta
Mauritius,-20.348404,57.552152,Mauritius
Maldives,3.202778,73.22068,Maldives
Malawi,-13.254308,34.301525,Malawi
Mexico,23.634501,-102.552784,Mexico
Malaysia,4.210484,101.975766,Malaysia
Mozambique,-18.665695,35.529562,Mozambique
Namibia,-22.95764,18.49041,Namibia
New Caledonia,-20.904305,165.618042,New Caledonia
Niger,17.607789,8.081666,Niger
Norfolk Island,-29.040835,167.954712,Norfolk Island
Nigeria,9.081999,8.675277,Nigeria
Nicaragua,12.865416,-85.207229,Nicaragua
Netherlands,52.132633,5.291266,Netherlands
Norway,60.472024,8.468946,Norway
Nepal,28.394857,84.124008,Nepal
Nauru,-0.522778,166.931503,Nauru
Niue,-19.054445,-169.867233,Niue
New Zealand,-40.900557,174.885971,New Zealand
Oman,21.512583,55.923255,Oman
Panama,8.537981,-80.782127,Panama
Peru,-9.189967,-75.015152,Peru
French Polynesia,-17.679742,-149.406843,French Polynesia
Papua New Guinea,-6.314993,143.95555,Papua New Guinea
Philippines,12.879721,121.774017,Philippines
Pakistan,30.375321,69.345116,Pakistan
Poland,51.919438,19.145136,Poland
Saint Pierre and Miquelon,46.941936,-56.27111,Saint Pierre and Miquelon
Pitcairn Islands,-24.703615,-127.439308,Pitcairn Islands
Puerto Rico,18.220833,-66.590149,Puerto Rico
Palestinian Territories,31.952162,35.233154,Palestinian Territories
Portugal,39.399872,-8.224454,Portugal
Palau,7.51498,134.58252,Palau
Paraguay,-23.442503,-58.443832,Paraguay
Qatar,25.354826,51.183884,Qatar
Réunion,-21.115141,55.536384,Réunion
Romania,45.943161,24.96676,Romania
Serbia,44.016521,21.005859,Serbia
Russia,61.52401,105.318756,Russia
Rwanda,-1.940278,29.873888,Rwanda
Saudi Arabia,23.885942,45.079162,Saudi Arabia
Solomon Islands,-9.64571,160.156194,Solomon Islands
Seychelles,-4.679574,55.491977,Seychelles
Sudan,12.862807,30.217636,Sudan
Sweden,60.128161,18.643501,Sweden
Singapore,1.352083,103.819836,Singapore
Saint Helena,-24.143474,-10.030696,Saint Helena
Slovenia,46.151241,14.995463,Slovenia
Svalbard and Jan Mayen,77.553604,23.670272,Svalbard and Jan Mayen
Slovakia,48.669026,19.699024,Slovakia
Sierra Leone,8.460555,-11.779889,Sierra Leone
San Marino,43.94236,12.457777,San Marino
Senegal,14.497401,-14.452362,Senegal
Somalia,5.152149,46.199616,Somalia
Suriname,3.919305,-56.027783,Suriname
São Tomé and Príncipe,0.18636,6.613081,São Tomé and Príncipe
El Salvador,13.794185,-88.89653,El Salvador
Syria,34.802075,38.996815,Syria
Swaziland,-26.522503,31.465866,Swaziland
Turks and Caicos Islands,21.694025,-71.797928,Turks and Caicos Islands
Chad,15.454166,18.732207,Chad
French Southern Territories,-49.280366,69.348557,French Southern Territories
Togo,8.619543,0.824782,Togo
Thailand,15.870032,100.992541,Thailand
Tajikistan,38.861034,71.276093,Tajikistan
Tokelau,-8.967363,-171.855881,Tokelau
Timor-Leste,-8.874217,125.727539,Timor-Leste
Turkmenistan,38.969719,59.556278,Turkmenistan
Tunisia,33.886917,9.537499,Tunisia
Tonga,-21.178986,-175.198242,Tonga
Turkey,38.963745,35.243322,Turkey
Trinidad and Tobago,10.691803,-61.222503,Trinidad and Tobago
Tuvalu,-7.109535,177.64933,Tuvalu
Taiwan,23.69781,120.960515,Taiwan
Tanzania,-6.369028,34.888822,Tanzania
Ukraine,48.379433,31.16558,Ukraine
Uganda,1.373333,32.290275,Uganda
U.S. Minor Outlying Islands,,,U.S. Minor Outlying Islands
United States,37.09024,-95.712891,United States
Uruguay,-32.522779,-55.765835,Uruguay
Uzbekistan,41.377491,64.585262,Uzbekistan
Vatican City,41.902916,12.453389,Vatican City
Saint Vincent and the Grenadines,12.984305,-61.287228,Saint Vincent and the Grenadines
Venezuela,6.42375,-66.58973,Venezuela
British Virgin Islands,18.420695,-64.639968,British Virgin Islands
U.S. Virgin Islands,18.335765,-64.896335,U.S. Virgin Islands
Vietnam,14.058324,108.277199,Vietnam
Vanuatu,-15.376706,166.959158,Vanuatu
Wallis and Futuna,-13.768752,-177.156097,Wallis and Futuna
Samoa,-13.759029,-172.104629,Samoa
Kosovo,42.602636,20.902977,Kosovo
Yemen,15.552727,48.516388,Yemen
Mayotte,-12.8275,45.166244,Mayotte
South Africa,-30.559482,22.937506,South Africa
Zambia,-13.133897,27.849332,Zambia
Zimbabwe,-19.015438,29.154857,Zimbabwe
